中文字詞,英文字詞,出現頻率,負責單位
港埠辦事處,port offices,3,TFDA
食品加工（廠）,food processing plants,3,防檢署、食藥署(北區管理中心)
輸入食品之重要輸入管制措施,Key import control measures for imported foods,3,
分切廠,cutting plant,3,
HACCP 計畫,HACCP plans,3,
追溯與回收計畫,traceability and recall plans,3,
食品添加物,food addictive,3,Division、Food、Safety、of、食藥署
大腸桿菌,E.coli,3,三區管中心
動物源產品,edible animal tissues,3,中區管理中心、防檢署
殘留量,residues,3,TFDA、防檢署
農業、畜牧、家禽與水產品,"agricultural, livestock, poultry and aquatic products",3,
鹹鴨蛋,boiled salt duck eggs,3,
預煮之鹹鴨蛋黃,pre-cooked salted duck eggs yolk,3,
衛生安全管理系統,sanitation and safety management systems,3,監管組
孔雀綠,malachite green,3,防檢局、防檢署
秋水仙鹼,colchicine,3,
二甲硝唑,dimetridazole,3,
羅硝唑,ronidazole,3,
食品及其相關產品回收銷毀處理辦法,Regulations of Recall and Destruction for Food and Related Products,3,
促進生產食品之動物生長,growth promotion in food-producing animals,3,防檢署
輸出稽查,inspection to export,3,
微生物分析,microbiological analyses,3,
加熱肉品,Heat Treated Meat Products,3,防檢局
標示規範,regulations of labelling,3,
目標物質,target substances,3,三區管中心、漁業署、防檢署、食藥署(中區管理中心)
後市場監測計畫,post-market monitoring program,3,三區管中心、漁業署、食品藥物管理署、食藥署
食品農藥殘留容許量,pesticide residue limits in foods,3,TFDA
肉類與肉製品,meat and meat products,3,
生鮮肉品類衛生標準,Sanitation Standard for Fresh Meats,3,
獸醫處方,veterinary prescription,3,防檢署
歐盟法規,EU legislation,3,
乳品類衛生標準,Sanitation Standard for Milk and Milk Products,3,
年度後市場監測計畫,Annual Post-market surveillance programs,3,
即食（RTE）食品類衛生標準,Sanitation Standard for Ready-to-Eat (RTE) Foods,3,
食品標籤,food labeling,3,TFDA
即食食品,ready-to-eat (RTE),3,食藥署
微生物衛生標準,microbial standards,3,食藥署
常規性微生物檢測,regulatory microbiological testing,3,食藥署
初級生產,primary production,3,
食品追溯追蹤,food traceability,3,TFDA
輸入,importing,3,
製造,manufacturing,3,
加工食品,processed food products,3,
動物物種,animal species,3,
分離系統,segregated system,3,
動物用藥殘留物,veterinary drug residues,3,
屠宰,slaughtering,3,
食品中毒細菌,food poisoning bacteria,3,食藥署(食品組6科)
能力試驗,Proficiency testing (PT),3,
食品檢驗能力評估計畫,Food Examination Performance Assessment Scheme (FEPAS),3,
經濟部標準檢驗局,BSMI,3,BSMI
禁止物質,prohibited substances,3,TFDA
微生物病原體,microbiological pathogens,3,防檢局、食藥署
飼料製造商,feed manufacturers,3,
食用動物組織,edible animal tissues,3,食藥署
獸用藥品,veterinary medicinal products,3,食藥署
地方動物防疫機關,Local Animal Disease Inspection Authorities (LADIAs),3,防檢署
農藥殘留物容許量,pesticide residue limits,3,食藥署
李斯特菌,Lm,3,防檢局
水產品,hydrobiological products,3,食藥署
特管食品（包括水產副產品）,THE FOOD (including aquatic by-products),3,
微生物標準,standards for microorganisms,3,
屠宰場,slaughterhouse,3,
屠宰作業準則,Regulations for Slaughter Operation,3,
蛋製品加工廠,egg processing plant,3,
基質,matrix,3,
罐頭食品,canned food products,3,監管組
特殊營養食品,special nutrient foods,3,監管組
食用油,edible oil,3,監管組
糖,sugar,3,監管組
鹽,salt,3,監管組
麵粉,flour,3,監管組
澱粉,starch,3,監管組
預警,alert,3,食藥署(食品組)
食品製造業者,Food manufacturers,3,
可追溯系統,traceability system,3,
動物健康狀況,animal health status,3,
官方殘留檢驗,official residue testing,3,
食品輸銷衛生安全整合平台,Food Export System,3,食藥署
衛生證明書,health certificate,3,
權責機關,competent authorities,3,標準局
主管部門,competent authority,3,
直轄市、縣（市）主管機關,municipal or county/city competent authority,3,
乳製品,dairy,3,
能力試驗,proficiency test,3,TFDA
輸銷美國加熱肉品衛生安全取樣分析作業指南,Guidelines Governing Implementation of Hygiene and Safety Sampling and Analysis System for Heat-treated Meat Products Intended for Export to the United States,3,
衛生福利部疾病管制署,"Centers for Disease Control, Ministry of Health and Welfare",3,
水產動物用藥品使用規範,The Guidelines for Use of Drugs in Aquaculture,3,防檢局
劑量,dosage,3,防檢署
風險分析,risk assessment,3,食藥署
市售禽畜水產品藥物殘留監測計畫,"annual post-market residue monitoring plan for poultry, livestock aquiculture products",3,TFDA、食藥署
產品通路便捷系統,PMDS (Product Management Distribution System),3,TFDA、食藥署
下架、回收並銷毀,"withdrawn, recalled and destroyed",3,TFDA、食藥署
停藥期,drug withholding period (drug withdrawal period),3,食藥署
食品中獸藥殘留限量標準,Standards for Veterinary Drug Residue Limits in Foods,3,
殘留物監控計畫,control plans for residues,3,
實驗室認證,accredited laboratories,3,監管組、食藥署
輸入許可,approval of import,3,
等效性評估,equivalence,3,
農藥殘留容許量標準,Standards for Pesticide Residue Limits in Foods,3,防檢署、食藥署(食品組1科)
輸出場所,export establishments,3,
管制,control measures,3,食藥署(食品組)
動植物防疫檢疫署,Animal and Plant Health Inspection Agency,3,動植物防疫檢疫署
食品衛生稽查數據,food inspection data,3,食品藥物管理署、食藥署(三區管中心)
食品及相關產品輸入查驗辦法,Regulation of Inspection of Imported Foods and Related Products,3,三區管理中心、食品組2科、食藥署
衛生主管機關,health authority,3,
食品添加劑,food additives,3,
食用動物,food producing animals,3,
行政院農業委員會,COA,3,食品藥物管理署
輸出,export,3,
分離式系統,segregated system,3,
黴菌毒素,mycotoxins,3,農政機關
蜂王漿,royal jelly,3,農政機關、食藥署
其衍生產品,products derived therefrom,3,
水產養殖魚類,aquaculture finfish,3,
食品添加物,Food additives,3,漁業署
防檢局,Bureau of Animal and Plant Health Inspection and Quarantine,3,防檢局
消費者保護法,Consumer Protection Act,3,
食品業者,FBOs,3,食藥署
屠宰場,abattoirs,3,農政機關
喹乙醇,olaquindox,3,防檢署
硝呋索,nifursol,3,防檢署
食品廠,establishment,3,
改製,reconditioning,3,2科)、食藥署(食品組1科
食品製造業,food manufacturers,3,食藥署(食品組)
衛生管理,sanitation management,3,食藥署(食品組)
生物性、物理性及化學性污染源,"biological, physical, and chemical contaminant sources",3,食藥署(食品組)
食品安全衛生管理法,Act governing Food Safety and Sanitation,3,
輸出業者,exporting food businesses,3,
第三方驗證機制,third party certification body audits,3,
認證範圍,accredited scope,3,TFDA、食藥署
乳製品,Dairy products,3,
殺菌袋,Retort pouch,3,
熟鹹鴨蛋,Boiled salt duck eggs,3,
後市場監測計畫,post-market surveillance program,3,
違規殘留物,violative residues,3,
監測研究,surveillance studies,3,
輸歐盟食品管理作業規範,Direction on Exporting Food Products to the European Union Countries,3,TFDA
農政主管機關,competent agricultural authorities,3,
後市場檢驗與查核,post-market testing and inspection,3,
即食性產品,RTE products,3,
鮭魚產品,salmonid products,3,
核可工廠,approved establishments,3,
雙枚貝類產品,bivalve mollusc products,3,標準局
分離生產系統,split system (segregated production system),3,防檢署
合格農場,eligible farms,3,
食品加工廠,processing plants,3,三區管理中心、漁業署、防檢署、食藥署(中區管理中心)
衛生主管機關,competent health authority,3,
追溯追蹤,traceability,3,漁業署
殘留物監控計畫,residue monitoring plan,3,
發布預警,issue an alert,3,
製造與加工衛生證明,"MANUFACTURE, MANUFACTURED SANITARY CERTIFICATE",3,TFDA
最大殘留限量,MLs,3,TFDA、食品組5科
動物性產品,animal product,3,食品組5科
微生物檢測,microbiological testing,3,防檢局、食藥署
兔子及放養獵物,Rabbits and farmed game,3,
地方主管機關,local competent authorities,3,
微生物,microbiological,3,TFDA
農政單位,agricultural authorities,3,
蛋製品工廠,egg processing establishments,3,TFDA、中區管理中心、防檢署
輸入應施檢疫物檢疫準則,Regulations for the Importation of Objects Subject to Animal Quarantine,3,防檢局、防檢署
食品業者,food practitioners,3,
食品製造工廠衛生管理人員設置辦法,Regulations Governing the Establishment of the Sanitation Control Personnel of Food Manufacturing Factory,3,
水產品產地監測計畫,The Quality and Hygienic Condition Surveillance of Fisheries Products on Fish Farms and Vessels,3,三區管理中心、漁業署
Council Directive 96/22/EC,Council Directive 96/22/EC,3,
食品管理,food management,3,
動物產品農藥殘留容許量標準,Standards for Pesticide Residue Limits in Animal Products,3,防檢署、食藥署(食品組1科)
CODEX國際食品標準,CODEX-international Food Standards,3,中央畜產會、畜產
進口國,importing countries,3,TFDA、食藥署(食品組)
國際參考實驗室,international reference laboratories,3,
衛生福利部食品藥物管理署,"Taiwan Food and Drug Administration (TFDA), Ministry of Health and Welfare (MOHW)",3,
抽驗,sampling and testing,3,
上市後監測,post-marketing surveillance,3,
乳和乳製品加工廠,milk and dairy product factories,3,
農、畜、水產品安全管理工作小組,"Agricultural, livestock and fishery products safety management working groups",3,
貯存設施,storage facilities,3,
家禽蛋,poultry eggs,3,
衛生安全原則,sanitation and safety principles,3,
食品企業,food businesses,3,
後市場蛋品殘留物監測計畫,post-market residue monitoring plan for eggs,3,TFDA
標準檢驗局,BSMI,3,BSMI
風險管理,risk management,3,標準局
畜、禽、水產品,"livestock, poultry and aquatic products",3,BAPHIQ、防檢局、防檢署
衛生機關,Health agencies,3,
市售食品,commercial supplies of food products,3,
輸入、輸出、製造和加工,"importing, exporting, manufacturing, and processing",3,
官方後市場查核,official post-market inspections,3,
硝呋喃代謝物,nitrofuran metabolites,3,APHIA
農畜產品,agricultural or livestock products,3,
食品安全法規,food safety regulations,3,
PMDS (產品管理分銷系統),PMDS (Product Management Distribution System),3,三區管中心、食品組
冷藏庫,cold stores,3,
良好衛生規範,Good Hygiene Practice (GHP),3,TFDA、食藥署
食品安全管制系統,food safety control system (HACCP),3,TFDA
食品衛生管制,food sanitation control,3,TFDA
罐頭食品,Canned food,3,TFDA
地方政府衛生局,local government health bureaus,3,食藥署(三區管中心)
動物來源產品,products of animal origin,3,防檢署
衛生福利部食品藥物管理署,"TFDA, MOHW",3,
管制藥品組,Division of Controlled Drugs,3,
工廠管理,factory management,3,食品藥物管理署
地方衛生局,Local Health Bureaus,3,
乳與乳製品工廠,milk and dairy products factories,3,
篩選和確認分析方法,screening and confirmatory analytical methods,3,
不合規,non-compliant,3,
衛生,hygiene,3,食藥署
食品檢驗機構認證及委託認證管理辦法,Regulations Governing Accreditation and Outsourced Accreditation Management of Food Testing Institutions,3,TFDA
生物安全,biosecurity,3,
食物鏈訊息,food chain information,3,
雌二醇17&beta;,oestradiol 17&beta;,3,
殘留管制活動,residue control activities,3,
改正措施,corrective measures,3,
國家殘留監控計畫,national residues monitoring plan,3,
出口國主管機關,CA of exporting country,3,BSMI、The
食品生產動物或其衍生產品,food-producing animals or products derived therefrom,3,
供人類食用,for human consumption,3,
供人類食用的抗生素,antimicrobials reserved for human use,3,
進口魚類或水產品,Importing fish or fishery products,3,
動植物防疫檢疫署,The APHIA,3,APHIA、The
冷凍/冷藏未去內臟魚產品進口檢疫要求,Quarantine Requirements for the Importation of Frozen/Chilled Uneviscerated Fish Products,3,APHIA、The
邊境衛生管制,border sanitary controls,3,TFDA、The
標籤,labelling,3,TFDA、The
進口食品系統性查驗管理辦法,Regulations for Systematic Inspection of Imported Food,3,TFDA、The
官方衛生證明書,official health certificate,3,TFDA、The
再出口至歐盟,Re-export to the EU,3,
經濟部標準檢驗局,The BSMI,3,BSMI、The
核准之加工廠,approved processing plants,3,BSMI、The
歐盟委任條例 (EU) 2023/905,Commission Delegated Regulation (EU) 2023/905,3,BSMI、The
戴奧辛及多氯聯苯,Dioxins and Polychlorinated Biphenyls,3,TFDA、北區管理中心、漁業署、研檢組、食藥署(監管組)
縣市衛生局,county/city health bureaus,3,
乳品,dairy products,3,防檢署、食藥署(中區管理中心)
抗生素,antibacterial substances,3,
控制措施,control measures,3,
多氯聯苯,PcBs,3,MOA、中區管理中心、防檢署
農藥,pesticide,3,食藥署
磺胺類,sulfonamides,3,食藥署
外銷食品及飼料廠場危害分析重要管制點管理系統驗證驗證基準,Inspection Criteria for the HACCP Management System for Exporting Food Establishments,3,標準局
藥物殘留及化學物質,drug and chemical residues,3,三區管中心、漁業署、食品組
原料,raw material,3,
獸藥殘留,Residues of Veterinary Medicinal Products,3,
食品廣告,advertisement,3,TFDA
蛋加工廠,egg processing plants,3,
停藥期間,withdrawal period,3,防檢署
微生物衛生標準,microbiological standards,3,
衛生局,health bureau,3,
食品業者,food operator,3,
殘留容許量,regulatory tolerances,3,APHIA、TFDA
食源性疾病,foodborne illness,3,
化學物質,chemical residues,3,漁業署、食品組
熱處理肉類產品,heat-treated meat products,3,BAPHIQ
肉類及肉製品,meat and meat products,3,食藥署(食品組)
食品製造業者製程管理及品質管制基準,Process Management and Quality Control Guidelines,3,
食品規範,food regulations,3,
能力試驗,proficiency tests,3,漁業署、監管組、研檢組
食品安全管制系統法,Regulations on Food Safety Control System,3,TFDA、衛生福利部食品藥物管理署
衛生管理系統,sanitary management system,3,
獸醫服務,Veterinary Services,2,防檢署、食藥署(食品組)
關務署,Customs Administration,2,
食品業者之登錄,registration of the food businesses,2,
回收計畫,recall projects,2,
多氯聯苯,Polychlorinated biphenyl (PCBs),2,食藥署(食品組1科)
食品中污染物質及毒素衛生標準,Sanitation Standards for Contaminants and Toxins in Food,2,食藥署(食品組1科)
食品含戴奧辛及多氯聯苯處理規範,Directions for the Tolerance of Dioxins and Polychlorinated Biphenyl in Foods,2,食藥署(食品組1科)
目標取樣,targeted sampling,2,中區管理中心、防檢署
國家參考實驗室,national reference laboratories,2,
認證,accreditation,2,
檢驗方法,testing method,2,TFDA、研檢組
輸出管制及驗證,Export controls and certification,2,
檢疫證明書,veterinary certificate,2,
定量極限,level of quantification (LOQ),2,防檢署、食藥署(中區管理中心)
食品從業人員,food practitioners,2,
即食產品,RTE products,2,
輸出國標示法,labeling requirements of the exporting country,2,
自由銷售證明,Certificate of Free Sales and Manufacture,2,
地方衛生主管機關,Local health authority,2,
動物用藥,pharmaceutical drugs,2,TFDA
後市場監測計畫,post-market residue monitoring plan,2,食藥署
有機氯化合物,organochlorinated compounds,2,
有機磷化合物,organophosphate compounds,2,
除蟲菊類農藥,pyrethroids,2,
官方管制,Official controls,2,
FA,FA,2,FA
健康證明書,health certificate,2,
國家殘留監測計畫,national residues monitoring plan,2,
食品衛生,hygiene of foodstuffs,2,
受認證實驗室,certified laboratories,2,
台灣食品藥物管理署,Taiwan Food and Drug Administration (TFDA),2,人事室、北區管理中心、漁業署
食品衛生,Food sanitation,2,人事室、北區管理中心、漁業署
回收及銷毀,recalled and destroyed,2,三區管中心、食品組
動物疫苗,animal vaccines,2,防檢署
畜產品殘留,residue on livestock products,2,
單核球增多性李斯特菌,Listeria monocytogenes (Lm),2,防檢局
沙門氏菌屬,Salmonella spp.,2,
獸藥殘留標準,standards for veterinary drug residues,2,防檢署
蛋,egg,2,防檢署
微生物檢驗,microbiological testing,2,
ISO/IEC 17025認證,ISO/IEC 17025 accreditation,2,
水產養殖生產中心,aquaculture production centers,2,
水產食品工廠,aquatic product processing industries,2,
衛生管理項目,sanitation control items,2,
養殖魚貝類,farmed fish and shellfish,2,
Beta腎上腺受體作用劑,beta-agonists,2,
養蜂業,apiculture,2,
美洲和歐洲臭蟲病,American and European foulbrood,2,
法規,Regulation,2,
衛生證明,health certification,2,衛生福利部食品藥物管理署
貝類產品,molluscan shellfish,2,衛生福利部食品藥物管理署、食藥署
污染物殘留監控計畫,control plan for contaminants,2,
能力驗證,proficiency tests,2,食藥署
見證稽核,witness audit,2,防檢局
衛生管理,hygiene controls,2,
採樣,Sampling,2,
動物性油脂,animal oil products,2,
進口食品及相關產品,imported food and related products,2,
地方政府衛生局,local Health Bureaus,2,食藥署
加工程序,processing procedures,2,
檢驗技術,testing technology,2,研檢組
農業科技研究院,ATRI,2,
食品安全與衛生政策、規範與管理,"food safety and sanitation policies, regulations and management",2,食品組
食品、食品器具、容器、包裝和食品添加物之查驗登記與認證,"Registration, and certification of food products, food utensils, food containers, food packaging, and food addictive",2,食品組
食品製造過程管理,food manufacturing process management,2,食品組
優良製造規範查核,Good Manufacturing Practice inspection,2,風險管理組
ISO/IEC 17025認證,accredited to ISO/IEC 17025,2,中區管理中心、防檢署
進口,Import,2,國貿署
出口,Export,2,國貿署
不合格,non-compliant,2,
食品衛生安全事件,food safety incident,2,食藥署
殘留控制計畫,residue control plans,2,
兔子及養殖野味,Rabbits and farmed game,2,
食品檢驗,food inspection,2,
檢疫,quarantine,2,動植物防疫檢疫署
洗選蛋,washed eggs,2,
包子,Steamed Stuffed Bun,2,
定量極限,limit of quantification,2,TFDA
食品安全預警,food safety alert,2,食藥署
衛生監測,sanitary monitoring,2,標準局
政府採購法,Government Procurement Act,2,TFDA、北區管理中心、漁業署、研檢組
微生物測試實驗室質量管理品質控制要求,Requirement of Laboratory Quality Management- Quality Control of Microbiological Testing Laboratory,2,北區管理中心、漁業署、監管組、研檢組
測試和校準實驗室能力的一般要求,General requirements for the competence of testing and calibration of laboratories,2,北區管理中心、漁業署、研檢組
產品通路管理資訊系統,"Product Management Distribution System, PMDS",2,
藥物殘留監測計畫,surveillance programs of veterinary medicine residue,2,
農藥殘留,Pesticide residues,2,
動物產品中農藥殘留容許量標準,Standards for Pesticide Residue Limits in Foods,2,
第三方驗證,third party certification,2,
即食性產品,RTE product,2,防檢局
委託實驗室,consigned laboratories,2,北區管理中心、漁業署
檢驗部門主管,Head of department of analysis,2,北區管理中心、漁業署、食藥署(監管組)
檢驗人員,Examiner,2,北區管理中心、漁業署、食藥署(監管組)
農業部,Ministry of Agriculture (MOA),2,
食品藥物管理署,Taiwan Food and Drug Administration (TFDA),2,
獸醫行政,veterinary administration,2,
重要控制點,important control point,2,
糾正措施,corrective action,2,
風險分析,hazard analysis,2,
控制界限,control limits,2,
後市場監測,post-marketing surveillance,2,
跨部會食品安全管理,inter-ministerial food safety management,2,
檢疫證明,Veterinary Certificate,2,防檢署、食藥署(北區管理中心)
食品中動物用藥殘留標準,Standards for Veterinary Drug Residue Limits in Foods,2,
系統性查核,Systematic inspection,2,
鹿科產品,products of cervidae origin,2,
鮭魚生產,production of salmonids,2,
加工鮭魚產品,processed salmonid products,2,
輸入食品邊境查驗,Border Inspection of Imported Foods,2,
直轄市、縣（市）主管機關,municipal or the county/city competent authority,2,
獸醫監督,Veterinary oversight,2,
健康證書,health certificates,2,
食品營養分析,food nutrient analysis,2,食藥署
食品包裝,food packaging,2,食藥署
標準平板測試法,Standard plate count,2,三區管中心、食品組1科
海洋弧菌,Vibrio vulnificus,2,三區管中心、食品組1科
最大殘留容許限量,Maximum Residue Limits,2,中區管理中心、防檢署
最大容許限量/數值,Maximum Limits/Levels,2,中區管理中心、防檢署
獸醫 MRL,veterinary MRLs,2,中區管理中心、防檢署
後市場殘留物監測計畫,post-market monitoring plan,2,中區管理中心、防檢署
殘留物監控制計畫,control plans for residues,2,
地方衛生局,Local health bureaus,2,
鐵蛋,hard egg,2,
鵪鶉蛋,boiled quail eggs,2,
皮蛋,preserved duck eggs,2,
歐姆蛋,egg omelet,2,
檢疫規範,quarantine requirements,2,
動物健康保證,animal health guarantees,2,
輸入前或輸入後檢驗,pre-or post-import testing,2,
食品及相關產品輸入查核辦法,Regulations of Inspection of Imported Foods and Related Products,2,
危害分析重要管制點,Hazard Analysis and Critical Control Point (HACCP),2,
肉類食品,meat products,2,
初乳,colostrum,2,
大腸桿菌,Escherichia coli,2,食品組1科
食品安全與衛生法規,food safety and sanitation regulations,2,
水生動物疾病稽查員,aquatic animal disease inspectors,2,
實驗室認證資訊網,Laboratory Accreditation Management System (LAMS),2,食藥署(監管組)
國家容許量,national tolerances,2,TFDA
食品生產用動物,food producing animals,2,
賽滅淨,cyromazine,2,
偵測極限,limit of detection (LOD),2,
Regulation (EU) No 37/2010,Regulation (EU) No 37/2010,2,
硝基咪唑類,nitroimidazoles,2,
供人消費的產品,products for human consumption,2,
氨苯砜,dapsone,2,
技術人員/輔助人員,technical staff/auxiliaries,2,
內臟,offal,2,
加拿大食品檢驗局,CFIA,2,
卡巴多斯,carbadox,2,食藥署
磺胺,sulphonamides,2,食藥署
β-腎上腺受體作用劑,beta-agonists,2,防檢署
分離系統,split (segregated) system,2,防檢署
認可機構,accreditation body,2,食藥署(監管組)
符合性評估機構,conformity assessment bodies,2,防檢局
檢驗技術能力,testing ability,2,
外銷證明文件,export proof document,2,
食品相關衛生標準,food-related hygiene regulation,2,
Cyromazine,Cyromazine,2,中區管理中心、防檢署
Fluralaner,Fluralaner,2,防檢署
偵測極限,detection limit,2,食藥署
熱處理C,heat treatment C,2,
羅尼達唑,ronidazole,2,防檢署
戴奧辛類多氯聯苯,dioxin-like PCBs,2,
非戴奧辛類多氯聯苯,non-dioxin-like PCBs,2,
食品中動物用藥殘留容許量,veterinary drug residue limits in foods,2,TFDA
衛生標準,hygienic standards,2,
食品生產動物,food producing animals,2,
國產雞蛋,domestically-produced eggs,2,
動物產品,animal commodities,2,防檢署
食品中多氯聯苯限量標準,Standard for the Tolerance of Polychlorinated Biphenyl in Foods,2,
含戴奧辛多氯聯苯處理標準,Standard for the Treatment of Polychlorinated Biphenyls Containing Dioxin,2,
飲用水管理規則,Drinking Water Management Act,2,
農藥殘留,residues of pesticide,2,
相關商品,relevant commodities,2,
檢測,examination,2,三區管中心、食品組
抽驗,sampling,2,三區管中心、食品組
加工場所,processing facility,2,
藥理活性物質監控計畫,control plan for pharmacologically active substances,2,
生產類別,production classes,2,
乳加工廠,milk-processing plants,2,中區管理中心、防檢署
動物用藥管理法,Veterinary Drugs Control Act,2,中區管理中心、防檢署
蛋製品廠場,egg processing establishments,2,中區管理中心、防檢署
動物用藥與最大農藥殘留物容許量,veterinary drug and pesticide residue limits in foods,2,
後市場查核,post-market inspections,2,
報驗義務人,obligatory inspection applicant,2,
原材料、半成品或成品,"raw materials, semi-products or end products",2,
地方衛生局,local health bureau,2,三區管中心、漁業署
食品業者,food industry,2,
食品業者登錄,registration of the food businesses,2,食藥署(食品組6科)
一般食品衛生標準,Sanitation Standards for General Foods,2,
β-受體激動劑,β- agonists,2,TFDA
官方採樣計畫,official sampling plan,2,
微生物檢驗,microbiological test,2,
TFDA 研究檢驗組,Division of Research & Analysis of TFDA,2,
食品攙假分析,Food Adulteration Analysis,2,TFDA
肉品檢查員,meat inspectors,2,防檢署、食藥署(三區管中心)
殘留農藥或動物用藥安全容許量,permissible tolerance of pesticide or veterinary drugs residue,2,
食品中動物用藥殘留標準,Standards for veterinary drug residue limits in foods,2,
官方實驗室之認證狀態,Accreditation status of the official laboratories,2,
檢查、確認、監控、取樣,"inspection, verification, monitoring, sampling",2,防檢局
殘留管制,residue control,2,
生產輸銷美國加熱肉品食品工廠監督管理要點,Directions for Auditing Establishments Producing Heat-Treated Meat Products for the U.S. Market,2,防檢局
化學物殘留,Chemical residue,2,防檢局
環境污染物,environmental contamination,2,防檢局
微生物監控,Microbiological monitor,2,防檢局
動物種別鑑定,Animal species identification,2,防檢局
美國官方認可之檢驗方法,FSIS analytical methods,2,防檢局
新鮮豬肉,fresh pork,2,
健康證明,health certificate,2,BSMI
直轄市、縣(市)主管機關,municipal or county/city competent authority,2,
製造批號,lot/batch number,2,
衛生程序,hygiene procedures,2,
微生物與理化檢驗,microbiological and physicochemical testing,2,
殘留物分析,residues analysis,2,
肉類、家禽或蛋製品,"meat, poultry, or egg products",2,防檢局
輸銷美國加熱全熟肉品衛生安全取樣分析作業指南,Guidelines Governing Implementation of Hygiene and Safety Sampling and Analysis System for Heat treated Ready to Eat Meat Products Intended for Export to the United States,2,防檢局
不合格,non-conformity,2,食藥署
檢驗結果,testing results,2,
食用動物,food-producing animals,2,
蛋雞,layer hens,2,防檢署
食品添加業者,food additive industries,2,監管組
孔雀綠,Malachite green,2,防檢署
β-受體激動劑,β-agonists,2,防檢署
食品工廠,food factory,2,
食品業者之場區及環境良好衛生管理基準,Good Health Management Criteria for the Site and the Environment of Food Businesses,2,
衛生條件,hygiene condition,2,
衛生規範,hygiene requirements,2,
食品加工廠,food processing plant,2,
動物源原料,animal origin information,2,食藥署
動物用藥品,veterinary medicines,2,
水產品藥物及化學殘留檢驗與監測,sampling and monitoring work on the drug and chemical residues of aquatic products,2,FA
食品安全衛生管理系統,EFS system,2,BSMI
農業部動植物防疫檢疫署,APHIA,2,
上市後監測,post-market surveillance,2,
邊境檢驗,border inspection,2,
肉品和肉製品,meat and meat products,2,
輸入許可,import permits,2,
檢驗檢疫,inspection and quarantine,2,防檢署、食藥署(食品組)
殘留物控制,residues controls,2,
化學安全,chemical safety,2,
卡巴多,carbadox,2,
奧拉昆多,olaquindox,2,
喹乙醇,Olaquindox,2,
檢驗報告,TEXT REPORT,2,
加工食品,processed foods,2,
馬肉,horsemeat,2,
識別和追蹤,identification and traceability,2,
條例（歐盟）第1950/2006號,Regulation (EU) No 1950/2006,2,
條例 (EU) 2022/2292,Regulation (EU) 2022/2292,2,
衛生實驗室,health laboratories,2,TFDA
食品微生物衛生標準,Sanitation Standard for Microorganisms in Foods,2,
食源性疾病,food-borne disease,2,
登錄,registration,2,
認證檢驗機構,ISO/IEC 17025 accredited laboratories,2,食藥署
違規產品,non-conforming products,2,TFDA、食藥署
進口產品,imported commodities,2,食藥署
輸出食品廠,export establishments,2,
縣市衛生局,County/City Health Bureaus,2,Bureaus、City、County、Health
食用組織,edible tissues,2,TFDA、食藥署
食藥署,MOHW,2,食藥署
食品加工(廠),food processing plants,2,動植物防疫檢疫局、食藥署(北區管理中心)
設廠登記,factory registration,2,
動植物防疫檢疫局,Bureau of Animal and Plant Health Inspection and Quarantine,2,
畜禽產品農藥殘留限量標準,Standards for Pesticide Residue Limits in Livestock and Poultry Products,2,
容許限量,permissible tolerance,2,
殘留物測試,residues testing,2,
動物用藥殘留,residues of veterinary medicines,2,
毒害物質殘留量,toxicants residues,2,食藥署
動物用藥最大殘留容許量,veterinary drug MRLs,2,COA
輸入衛生要求,import sanitation requirements,2,
經濟貿易辦事處,economic and trade inquires,2,
國家殘留物監測計畫,national residues monitoring plan,2,
加工蛋製品,processing egg products,2,
高風險項目,high-risk projects,2,食品藥物管理署
食品詐欺,food fraud,2,
食品中重金屬監測計畫,monitoring program of heavy metal in food,2,
高風險產品,high risk food products,2,
食品容器或包裝,"food containers, packages",2,防檢局
輸出之食品,Export food products,2,防檢局
新藥風險管理計畫,RMP,2,
食品良好衛生規範,Regulations on Good Hygiene Practice for Food (GHP),2,
內臟,viscera,2,
分切物,meat cuts,2,
輸入,import,2,
目標或直接抽樣方案,Targeted or directed sampling protocols,2,
雞蛋樣本,egg samples,2,APHIA
蛋雞場,layer farm,2,
食品添加物,"foods have been deteriorated or rotten, toxic or contain substances or foreign materials that are harmful to human health, contaminated by pathogenic organisms, or have been proven by epidemiological survey to be cause of food poisoning, shall not be manufactured, processed, prepared, packaged, transported, stored, sold, imported, exported, presented as a gift or publicly displayed.",2,
食品中污染物質毒素衛生標準,Sanitation Standard for Contaminants and Toxins in Food,2,食藥署
食品安全管制統準則,Regulations on Food Safety Control System,2,
臺灣食品藥物管理署,Taiwan Food and Drug Administration,2,
歐盟食品和飼料法律,Union food and feed law,2,
歐盟動物健康法規,Union animal health legislation,2,
食品安全管制系統準則（HACCP）,Food Safety Control System (HACCP),2,
動物源原料,raw materials of animal origin,2,
肉品樣品,meat sample,2,
增菌,enrichment,2,
海外工廠檢查,Inspection of Overseas Factories,2,
文件審查,document review,2,
現場查驗,on-site inspection,2,
食藥署,FDA,2,農政機關
有效日期,expiry date,2,
監控制計畫,control plans,2,
殘留物濃度,concentration of a residue,2,
行動參考點,Reference Points for Action (RPAs),2,
合理可及的低水平,As Low As Reasonably Achievable,2,
水產品,Aquatic products,2,TFDA
自由銷售證明,Certificate of Free Sale,2,
食鳥肉,poultry,2,
食鳥處理場,poultry processing plants,2,
食品安全緊急事件,food safety emergencies,2,
