中文字詞,英文字詞,出現頻率
產品安全衛生資訊,product safety and hygiene information,1
加強抽批查驗,reinforced randomly selected batch inspection,1
危害安全衛生之虞,potential risk to safety and hygiene,1
一般抽批查驗,regular randomly-selected batch basis,1
產品安全衛生,product safety and hygiene,1
危害安全衛生之虞,safety or hygiene hazard or potential risk,1
同貨品分類號列,same Ccc Code,1
危害安全衛生之虞,risk of harm to safety and health,1
監視查驗,monitoring inspections,1
績優廠商之優惠措施,Preferential Measure for Excellent Industry,1
查驗,verification,1
一般抽批查驗,general batch sampling,1
檢驗結果不符合規定,verification failures,1
放行通知,release notice,1
先行通關,prior customs clearance,1
保證金,bond,1
複驗,re-analysis,1
樣品,samples,1
檢驗結果不符合規定,analysis results show noncompliance,1
容易腐敗或變質,easily corrupted or deteriorated,1
查驗結果通知,Notification of Inspection Results,1
查驗不符合規定,do not conform to the regulations,1
查驗符合規定,conform to the regulations,1
不符合規定,does not comply with regulations,1
退運或銷毀,Return or destroy,1
輸入產品,Imported products,1
不符合規定,do not conform to regulations,1
退運,Return,1
消毒,disinfect,1
改製,modify,1
查驗不符合通知書,notice of noncompliance,1
輸入產品,imported product,1
改製,reconditioning,1
輸出國（地區）,exporting country/area,1
預防措施,preventative measures,1
邊境查驗自動化管理資訊系統,Import Food Information System,1
輸出國（地區）政府,government of the exporting country/area,1
輸入食品系統性查核實施辦法,Regulations for Systematic Inspection of Imported Food,1
系統性查核,Systematic inspection,1
政府機關監督措施,supervisory measures taken by the governments,1
查核機關,Inspection authority,1
衛生福利部食品藥物管理署,"Food and Drug Administration, Ministry of Health and Welfare",1
書面審查,Document review,1
實地查核,On-site inspection,1
等效性,equivalance,1
監督措施,supervisory measures,1
指定生產設施,establishments designated,1
食品衛生安全,food sanitation,1
政府機關監督措施,supervisory measures,1
食品及其相關產品,food or related product,1
輸入查驗,importing country,1
危害食品衛生安全,jeopardizing food safety,1
食品及其相關產品,Food or related products,1
食品衛生安全,food safety,1
實地查核費用,expenses of on-site inspection,1
食品衛生檢驗委託辦法,Regulations Governing Commissioned for Food Sanitation Testing,1
食品衛生管理法,Act Governing Food Sanitation,1
委託檢驗項目,commissioned items,1
檢驗設備,testing equipment,1
檢驗作業管控程序,test control procedures,1
品質保證措施,quality assurance measures,1
食品衛生檢驗委託辦法,Regulations,1
食品衛生檢驗,Testing,1
委託檢驗項目,commissioned test items,1
委託檢驗單,commission test sheet,1
檢驗設備,test equipment,1
品質管理,quality control,1
食品檢驗機構認證及委託認證管理辦法,Regulations Governing Accreditation and Outsourced Accreditation Management of Food Testing Institutions,1
品質管理系統,Quality System,1
量測不確定度,uncertainty of measurements,1
檢驗機構,Testing Institutions,1
實驗室,Laboratories,1
定量檢驗項目,quantitative test item,1
實地查核,on-site assessment,1
有效期間,validity period,1
檢驗方法,testing methods,1
衛生標準,sanitation standards,1
檢驗方法,test methods,1
產品名稱,name,1
來源,source,1
委託者,client,1
檢驗委託契約,contract of test entrustment,1
檢驗儀器,test instrument,1
檢驗設施,test facility,1
品質管制資料,quality control information,1
原始數據,raw data,1
產品名稱,Products of different names,1
原料來源,raw material sources,1
最小獨立包裝,minimum individual packages,1
檢驗委託契約,test entrustment contract,1
認證檢驗項目,accredited test items,1
認證範圍,accreditation scope,1
品質管理,quality management,1
作業程序,operating procedures,1
檢驗紀錄,test records,1
食品重大突發事件,major unforeseen food related event,1
管理系統,management system,1
食品及其相關產品,food and related products,1
回收銷毀,recall and destruction,1
製造、販賣、輸入業者,"manufacturer, seller, or importer",1
回收進度報告,recall progress reports,1
直轄市、縣（市）主管機關,competent municipality or county(city) authority,1
進貨,procurement,1
出貨,shipment,1
重量或容量,weight or volume,1
最終處置,Final disposal,1
改製,reprocessing,1
銷毀,destruction,1
食品及其相關產品,Products,1
直轄市、縣（市）主管機關,competent municipality or county (city) authority,1
回收進度,recall progress,1
食品安全衛生管理法,Act,1
下游回收量,volume of recall from downstream counterparties,1
售出下游量,volume of sales to downstream counterparties,1
回收進度報告,recall progress report,1
產品回收銷毀,Products' recall and destruction,1
食品安全衛生管理法施行細則,Enforcement Rules of the Act Governing Food Safety and Sanitation,1
產品登錄碼,product registration code,1
查驗登記許可字號,registration approval number,1
有毒,toxic,1
天然毒素,natural toxins,1
化學物品,chemicals,1
嬰兒與較大嬰兒配方食品,infant and follow-up formula,1
國家標準,National Standards,1
製造、加工、調配製成終產品之廠商,"businesses that manufacture, process or prepare the final products",1
複方食品添加物,Food additive combinations,1
終產品,final product,1
輸入食品,import,1
輸入之食品,imported foods,1
改裝製造廠商,repacking manufacturer,1
國外製造廠商,foreign manufacturer,1
容器,container,1
原產地,Country of Origin,1
製造、加工或調配製成終產品,"manufactured, processed or prepared",1
實質轉型,substantial transformation,1
分級,grading,1
分類,classification,1
品名,name,1
有效日期,date,1
最小販賣單位,smallest unit of the vending products,1
廠商名稱,company name,1
加工程序,processing procedures,1
原產地,origin,1
原產地（國）,country of origin,1
檢驗方法,Method of test,1
檢驗單位,Testing unit,1
食品良好衛生規範準則,Regulations on Good Hygiene Practice for Food,1
作業場所,Operation site,1
貯存,storing,1
有害微生物,Harmful microorganisms,1
接觸面,Contact surfaces,1
加工或製造作業,processing or manufacturing operations,1
酸化食品,Acidified food,1
熱殺菌,Heat sterilization,1
密閉容器,Hermetically sealed container,1
低酸性食品,Low-acid foods,1
品質管制,Quality Control,1
製程,process,1
病原菌,pathogens,1
腐敗菌,spoilage organisms,1
食用油,edible oils,1
化學物質,chemicals,1
設施及設備,"facilities, and equipment",1
包裝食品,packaged foods,1
製程及品質管制,Manufacturing Process and Quality Control,1
倉儲管制,storage control,1
運輸管制,transportation control,1
冷凍食品,frozen foods,1
冷藏食品,refrigerated foods,1
食品製造業,Food Manufacturing Industry,1
生物性、物理性及化學性汙染源,"biological, physical, and chemical sources of contamination",1
衛生設施,sanitation facilities,1
試驗,testing,1
真空包裝即食食品,Vacuum-packaged ready-to-eat foods,1
成品回收,recall of finished products,1
熱殺菌,heat sterilization,1
商業滅菌,commercial sterilization,1
天然酸性食品,Naturally acidic foods,1
發酵食品,Fermented foods,1
碳酸飲料,Carbonated beverages,1
紀錄,records,1
非自然人之直接買受者,direct purchasers other than natural persons,1
可追蹤流向,traceability,1
硝酸鹽,nitrates,1
平衡pH值,final pH value,1
發酵產品,fermented products,1
真空包裝即食食品,vacuum-packaged ready-to-eat foods,1
食品製造業者,food manufacturer,1
發酵食品,fermented foods,1
天然酸性食品,acidic foods,1
食品及食品添加物,food and food additives,1
食品物流業者,Food logistics businesses,1
運送管制,transportation control,1
食品外送平臺業者,Food delivery platform operators,1
食品販賣業,Food Retail Industry,1
食品衛生管理,food hygiene management,1
先到期先出,"first-expired, first-out",1
先進先出,"first-in, first-out",1
保存條件,storage conditions,1
貯存狀態,storage status,1
烘焙食品,baked goods,1
奶油,cream,1
布丁,pudding,1
果凍,jelly,1
水果,fruit,1
即食菜餚,ready-to-eat,1
餐飲業,Food and Beverage Industry,1
處理,handling,1
交叉汙染,contamination,1
調理,preparation,1
食物製備技術士,Technician for Food Preparation,1
主管機關,competent authorities,1
廚師證書,chef certificates,1
食品添加物業,Food Additive Industry,1
食品添加物,Food additives,1
中餐烹調技術士證,Technician for Chinese Culinary certificate,1
西餐烹調技術士證,Technician for Western Culinary certificate,1
食物製備技術士證,Technician for Food Preparation certificate,1
食品業者專門職業或技術證照人員設置及管理辦法,Regulations on Placement and Management of Food Businesses Employment of Professionals with Vocational or Technical Certification,1
廚師證書,chef certificate,1
衛生局,health department,1
食品添加物業者,Food additive operators,1
溶劑,solvents,1
粉劑,powders,1
食品器具容器包裝衛生標準,"Sanitation Standard for Food Utensils, Containers and Packages",1
低酸性食品及酸化食品製造業,low-acid and acidified foods manufacture,1
熱殺菌密閉容器包裝,hermetically sealed containers processed by heat sterilization,1
低酸性食品,low-acid foods,1
酸化食品,acidified foods,1
熱殺菌密閉容器包裝低酸性食品及酸化食品製造業,Manufacture of Low-Acid and Acidified Foods in Hermetically Sealed Containers Processed by Heat Sterilization,1
成品,Finished products,1
規格標準,Standards for Specification,1
使用範圍,"Scope, Application",1
限量,Limitation,1
追蹤,traceability,1
熱殺菌密閉容器包裝低酸性金屬罐裝產品,heat-sterilized low-acid canned products in hermetically sealed metal containers,1
密閉容器,Hermetically Sealed Containers,1
殺菌操作人員,Sterilization operation personnel,1
殺菌技術管理人員,Sterilization technical management personnel,1
製造批次,manufacturing batch,1
低酸性金屬罐裝產品,Low-Acid and Acidified Foods in Hermetically Sealed Containers,1
食品器具、容器或包裝,"food utensils, containers, or packages",1
食品器具、容器或包裝製造業,"Manufacture of Food Utensils, Containers, or Packages",1
食品用洗潔劑製造業,Manufacture of Food Cleansers,1
包裝區,packaging area,1
食品器具、容器或包裝製造業,"manufacture of food utensils, containers, or packages",1
塑膠類製造業,manufacturers of plastic products,1
